download_ID,species,decimallongitude,decimallatitude,year
field_1,Loudetia simplex,46.21506,-19.36243,2022
field_2,Loudetia simplex,46.21506,-19.36243,2022
field_3,Loudetia simplex,46.21506,-19.36243,2022
field_4,Loudetia simplex,45.3034,-20.14135,2022
field_5,Loudetia simplex,45.3034,-20.14135,2022
field_6,Loudetia simplex,45.3034,-20.14135,2022
field_7,Loudetia simplex,45.3034,-20.14135,2022
field_8,Loudetia simplex,45.3034,-20.14135,2022
field_9,Loudetia simplex,45.3034,-20.14135,2022
field_10,Loudetia simplex,45.3034,-20.14135,2022
field_11,Loudetia simplex,45.3034,-20.14135,2022
field_12,Loudetia simplex,45.3034,-20.14135,2022
field_13,Loudetia simplex,45.3034,-19.59445,2022
field_14,Loudetia simplex,45.3034,-19.59445,2022
field_15,Loudetia simplex,45.3034,-19.59445,2022
field_16,Loudetia simplex,45.3034,-19.59445,2022
field_17,Loudetia simplex,45.3034,-19.59445,2022
field_18,Loudetia simplex,45.3034,-19.59445,2022
field_19,Loudetia simplex,45.3034,-19.59445,2022
field_20,Loudetia simplex,45.3034,19.59445,2022
field_21,Loudetia simplex,45.3034,19.59445,2022
field_22,Loudetia simplex,45.3034,-19.59445,2022
field_23,Loudetia simplex,45.31194,-19.46562,2022
field_24,Loudetia simplex,45.31194,-19.46562,2022
field_25,Loudetia simplex,45.31194,-19.46562,2022
field_26,Loudetia simplex,45.31194,-19.46562,2022
field_27,Loudetia simplex,45.31194,-19.46562,2022
field_28,Loudetia simplex,45.31194,-19.46562,2022
field_29,Loudetia simplex,45.31194,-19.46562,2022
field_30,Loudetia simplex,45.31194,-19.46562,2022
field_31,Loudetia simplex,45.31194,-19.46562,2022
field_32,Loudetia simplex,45.45187,-19.39177,2022
field_33,Loudetia simplex,45.45187,-19.39177,2022
field_34,Loudetia simplex,45.45187,-19.39177,2022
field_35,Loudetia simplex,45.45187,-19.39177,2022
field_36,Loudetia simplex,45.45187,-19.39177,2022
field_37,Loudetia simplex,45.45187,-19.39177,2022
field_38,Loudetia simplex,45.45187,-19.39177,2022
field_39,Loudetia simplex,45.45187,-19.39177,2022
field_40,Loudetia simplex,45.45187,-19.39177,2022
field_41,Loudetia simplex,45.45187,-19.39177,2022
field_42,Loudetia simplex,45.45187,-19.39177,2022
field_43,Loudetia simplex,47.02073,-19.5854,2022
field_44,Loudetia simplex,47.03122,-20.00139,2022
field_45,Loudetia simplex,47.03122,-20.00139,2022
field_46,Loudetia simplex,47.03122,-20.00139,2022
field_47,Loudetia simplex,47.03122,-20.00139,2022
field_48,Loudetia simplex,47.03122,-20.00139,2022
field_49,Loudetia simplex,47.03122,-20.00139,2022
field_50,Loudetia simplex,47.03122,-20.00139,2022
field_51,Loudetia simplex,47.03122,-20.00139,2022
field_52,Loudetia simplex,47.03122,-20.00139,2022
field_53,Loudetia simplex,47.03122,-20.00139,2022
